scenario_id,method,violation_type,source,difficulty,exec,trig,rem,c_road,c_env,c_role,c_lane,c_action,c_auto,c_noctrl,c_context,ms
NHTSA_INA_0042,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0043,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0044,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0045,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0046,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0047,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0048,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0049,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0050,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0051,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0052,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0053,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0054,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0055,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0056,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0057,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0058,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0059,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0060,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0061,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0062,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0063,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0064,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0065,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0066,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0067,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0068,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0069,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0070,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0071,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0072,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0073,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,0,0,1,,,,,,,,,
NHTSA_INA_0074,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0075,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0076,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0077,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0078,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0079,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0080,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0081,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0082,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0083,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0084,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0085,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0086,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0087,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0088,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0089,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0090,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0091,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0092,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0093,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0094,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0095,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0096,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0097,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0098,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0099,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0100,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0101,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0102,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0103,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0104,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0105,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0106,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0107,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0108,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0109,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0110,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0111,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0112,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0113,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0114,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0115,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0116,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0117,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0118,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,0,0,1,,,,,,,,,
NHTSA_INA_0119,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0120,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0121,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0122,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0123,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0124,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,0,0,1,,,,,,,,,
NHTSA_INA_0125,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,0,0,1,,,,,,,,,
NHTSA_INA_0126,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0127,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0128,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0129,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0130,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0131,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0132,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0133,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0134,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0135,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0136,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0137,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0138,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0139,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0140,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0141,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0142,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0143,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0144,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0145,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,0,0,1,,,,,,,,,
NHTSA_INA_0146,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0147,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0148,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0149,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0150,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0151,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0152,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0153,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0154,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0155,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0156,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,0,0,1,,,,,,,,,
NHTSA_INA_0157,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0158,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0159,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0160,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0161,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0162,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0163,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0164,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0165,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0166,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0167,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0168,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,0,0,1,,,,,,,,,
NHTSA_INA_0169,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0170,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0171,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0172,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,0,0,1,,,,,,,,,
NHTSA_INA_0173,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0174,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0175,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0176,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0177,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0178,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0179,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0180,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0181,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0182,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0183,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0184,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0185,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0186,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0187,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0188,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0189,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0190,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0191,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0192,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0193,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0194,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0195,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0196,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0197,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0198,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0199,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0200,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0201,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0202,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0203,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0204,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0205,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0206,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0207,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,0,1,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0208,RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,1,1,1,1,1,1,1,1,1,1,1,1
