batch,scenario_id,violation_type,source,difficulty,pre_execution_abort,attempted,post_attempt_execution_failure,exec,trig,rem,c_road,c_env,c_role,c_lane,c_action,c_auto,c_noctrl,c_context,ms
1,NHTSA_INA_0524,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0329,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,SYNTH_INA_0118,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0328,Inattention to the road ahead,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_INA_0606,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,NHTSA_INA_0053,Inattention to the road ahead,NHTSA-derived,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0446,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0116,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0447,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0128,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0513,Inattention to the road ahead,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_INA_0036,Inattention to the road ahead,NHTSA-derived,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0370,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0111,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.26
1,SYNTH_FTY_0011,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FTY_0097,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0470,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FTY_0118,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,NHTSA_FTY_0386,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,SYNTH_FTY_0072,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0153,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0238,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0174,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0514,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,NHTSA_FTY_0374,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0128,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0037,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,NHTSA_FTY_0373,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0454,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0481,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0462,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FTY_0073,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,NHTSA_FTY_0274,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.12
1,NHTSA_FTY_0422,Failure to yield,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_FTY_0066,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FTY_0115,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0052,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0346,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0143,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0249,Failure to yield,NHTSA-derived,coarse,0,1,1,0,0,0,,,,,,,,,
1,NHTSA_FTY_0341,Failure to yield,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,SYNTH_FTY_0056,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0086,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FTY_0107,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0189,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.12
1,NHTSA_FTY_0310,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0.22
1,NHTSA_FTY_0220,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.26
1,SYNTH_FTY_0094,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0441,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.26
1,NHTSA_FTY_0429,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0343,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FTY_0068,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0287,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0100,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0178,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0389,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,NHTSA_FTY_0436,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0105,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0392,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FTY_0126,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,NHTSA_FTY_0277,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0273,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FTY_0087,Failure to yield,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0463,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0043,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0440,Failure to yield,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_FTY_0308,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0089,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,NHTSA_FTY_0215,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0311,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0282,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0036,Failure to yield,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FTY_0336,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,NHTSA_FTY_0009,Failure to yield,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0133,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0080,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0198,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0324,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0176,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0216,Speeding,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,NHTSA_SPD_0178,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0027,Speeding,synthetic-topology-extension,fine,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,NHTSA_SPD_0177,Speeding,NHTSA-derived,coarse,1,0,0,0,0,1,,,,,,,,,
1,SYNTH_SPD_0066,Speeding,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0249,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0021,Speeding,synthetic-topology-extension,fine,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.26
1,SYNTH_SPD_0028,Speeding,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,NHTSA_SPD_0044,Speeding,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,NHTSA_SPD_0336,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0010,Speeding,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0054,Speeding,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0196,Speeding,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.12
1,NHTSA_SPD_0298,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0299,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0045,Speeding,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0163,Speeding,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_SPD_0211,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0186,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0327,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0338,Speeding,NHTSA-derived,coarse,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0.44
1,NHTSA_SPD_0115,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0012,Speeding,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0188,Speeding,NHTSA-derived,coarse,1,0,0,0,0,1,,,,,,,,,
1,NHTSA_SPD_0230,Speeding,NHTSA-derived,coarse,1,0,0,0,0,1,,,,,,,,,
1,NHTSA_SPD_0076,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0065,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0083,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0034,Speeding,NHTSA-derived,coarse,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.26
1,SYNTH_SPD_0059,Speeding,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0114,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0031,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0284,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0314,Speeding,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_SPD_0148,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0081,Speeding,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0277,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0119,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0037,Speeding,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0011,Speeding,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0107,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0138,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0097,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_SPD_0008,Speeding,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0171,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,NHTSA_SPD_0194,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0081,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0152,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0095,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0050,Speeding,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0045,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_SPD_0029,Speeding,NHTSA-derived,coarse,1,0,0,0,0,1,,,,,,,,,
1,NHTSA_SPD_0236,Speeding,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_SPD_0229,Speeding,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_SPD_0232,Speeding,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0040,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0110,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0025,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0232,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FSD_0056,Failure to maintain safe following distance,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0155,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FSD_0078,Failure to maintain safe following distance,synthetic-topology-extension,fine,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0.44
1,SYNTH_FSD_0030,Failure to maintain safe following distance,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FSD_0046,Failure to maintain safe following distance,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0127,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,NHTSA_FSD_0223,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0257,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0246,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0062,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0119,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0086,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0.8200000000000001
1,SYNTH_FSD_0025,Failure to maintain safe following distance,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0001,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0109,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FSD_0076,Failure to maintain safe following distance,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0259,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,SYNTH_FSD_0053,Failure to maintain safe following distance,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FSD_0068,Failure to maintain safe following distance,synthetic-topology-extension,fine,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,NHTSA_FSD_0218,Failure to maintain safe following distance,NHTSA-derived,coarse,1,0,0,0,0,1,,,,,,,,,
1,NHTSA_FSD_0078,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_FSD_0044,Failure to maintain safe following distance,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0002,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.12
1,NHTSA_FSD_0260,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_FSD_0150,Failure to maintain safe following distance,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
