scenario_id,violation_type,expert1_vt,expert2_vt,expert3_vt,majority_vt,expert1_ab,expert2_ab,expert3_ab,majority_ab,expert1_rr,expert2_rr,expert3_rr,majority_rr
NHTSA_SPD_0014,Speeding,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_SPD_0015,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0016,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0017,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0018,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,correct,correct
NHTSA_SPD_0019,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0020,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0021,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0022,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect
NHTSA_SPD_0023,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0024,Speeding,correct,correct,correct,correct,correct,correct,partial,correct,correct,correct,correct,correct
NHTSA_SPD_0025,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0026,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0027,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0028,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0029,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0030,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0031,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0032,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0033,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0034,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0035,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0036,Speeding,correct,incorrect,incorrect,incorrect,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0037,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0038,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0039,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0040,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0041,Speeding,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_SPD_0042,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0043,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0044,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0045,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0046,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_SPD_0047,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0048,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0049,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0050,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0001,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0002,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0003,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0004,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,incorrect,partial,incorrect
NHTSA_FSD_0005,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0006,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0007,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0008,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,partial,correct,correct,correct
NHTSA_FSD_0009,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0010,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0011,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0012,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0013,Failure to maintain safe following distance,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_FSD_0014,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0015,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0016,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0017,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0018,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_FSD_0019,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0020,Failure to maintain safe following distance,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_FSD_0021,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0022,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0023,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect
NHTSA_FSD_0024,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_FSD_0025,Failure to maintain safe following distance,correct,correct,correct,correct,partial,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0026,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0027,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0028,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0029,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0030,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0031,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0032,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0033,Failure to maintain safe following distance,incorrect,incorrect,correct,incorrect,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0034,Failure to maintain safe following distance,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_FSD_0035,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0036,Failure to maintain safe following distance,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0037,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0038,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0039,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0040,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0041,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0042,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_FSD_0043,Failure to maintain safe following distance,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_FSD_0044,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0045,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0046,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_FSD_0047,Failure to maintain safe following distance,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct
NHTSA_FSD_0048,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0049,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FSD_0050,Failure to maintain safe following distance,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0001,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0002,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0003,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0004,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0005,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0006,Wrong-way driving,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct
NHTSA_WWD_0007,Wrong-way driving,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0008,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0009,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0010,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0011,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0012,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0013,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_WWD_0014,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0015,Wrong-way driving,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_WWD_0016,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0017,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0018,Wrong-way driving,correct,correct,correct,correct,correct,correct,partial,correct,correct,correct,correct,correct
NHTSA_WWD_0019,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect
NHTSA_WWD_0020,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0021,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0022,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0023,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0024,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0025,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0026,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_WWD_0027,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0028,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0029,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0030,Wrong-way driving,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_WWD_0031,Wrong-way driving,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0032,Wrong-way driving,incorrect,correct,correct,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect
NHTSA_WWD_0033,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0034,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_WWD_0035,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_WWD_0036,Wrong-way driving,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
